id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
8026172,42374921,Rainer,Neukölln,Neuköllner Mitte/Zentrum,52.469746,13.433156,Entire home/apt,48.000000,1,156,1,283
4836108,24892746,Ralph-Peter,Mitte,Moabit Ost,52.517235,13.341652,Private room,48.000000,2,32,1,358
4357372,22618025,Richard & Katrin,Mitte,Moabit Ost,52.520473,13.346290,Entire home/apt,48.000000,90,2,1,129
22179984,162035473,Richard Eugene,Pankow,Helmholtzplatz,52.539310,13.422944,Private room,48.000000,1,2,2,140
9838450,6164101,Robert,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.517406,13.447159,Private room,48.000000,1,3,1,0
2470520,12633489,Romy,Mitte,Brunnenstr. Süd,52.529739,13.386684,Entire home/apt,48.000000,3,31,1,13
377304,1896360,Ron,Steglitz - Zehlendorf,Ostpreußendamm,52.422688,13.312794,Entire home/apt,48.000000,4,1,1,0
574657,2833811,Ruthi,Pankow,Prenzlauer Berg Südwest,52.539028,13.411234,Entire home/apt,48.000000,3,6,1,0
2011496,3026156,Sabrina & John,Tempelhof - Schöneberg,Schöneberg-Nord,52.497997,13.361710,Private room,48.000000,2,62,1,88
19683019,134115755,Sandra,Neukölln,Rixdorf,52.474583,13.443796,Private room,48.000000,2,4,1,178
23097210,19034870,Sane,Neukölln,Neuköllner Mitte/Zentrum,52.483780,13.428891,Entire home/apt,48.000000,6,3,1,0
20462129,117122800,Sarah,Charlottenburg-Wilm.,Düsseldorfer Straße,52.494270,13.317373,Entire home/apt,48.000000,14,11,1,204
26619724,93305035,Sascha,Treptow - Köpenick,Niederschöneweide,52.452271,13.537375,Entire home/apt,48.000000,2,12,1,0
26979827,108950241,Sergio,Pankow,Prenzlauer Berg Nordwest,52.554962,13.405726,Private room,48.000000,2,2,1,5
18718895,31003969,Sigrun,Tempelhof - Schöneberg,Schöneberg-Süd,52.481079,13.358627,Private room,48.000000,2,3,1,0
15481307,518154,Simona,Mitte,Brunnenstr. Süd,52.530548,13.385245,Entire home/apt,48.000000,32,10,1,303
17391892,303576,Sofia,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.489010,13.393031,Private room,48.000000,4,22,1,46
3508834,17667350,Sophie,Mitte,Brunnenstr. Süd,52.531872,13.390938,Private room,48.000000,3,186,2,24
19312907,18207921,Steffi & Alexis,Steglitz - Zehlendorf,Teltower Damm,52.436207,13.274935,Private room,48.000000,2,67,1,64
1465653,7760729,Stephanie,Neukölln,Reuterstraße,52.486393,13.435451,Entire home/apt,48.000000,1,0,1,258
24334420,3415109,Steve,Pankow,Prenzlauer Berg Süd,52.533257,13.431889,Entire home/apt,48.000000,3,1,1,0
4282156,22231410,Sylvia,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497742,13.446392,Private room,48.000000,1,59,1,220
27215964,33140698,Taissa,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.490704,13.412551,Private room,48.000000,2,2,3,13
3640939,18377854,TiLi,Neukölln,Rixdorf,52.472900,13.456035,Entire home/apt,48.000000,20,3,1,158
27927073,16722168,Tijana,Pankow,Prenzlauer Berg Süd,52.535927,13.429851,Private room,48.000000,2,3,1,4
